,S,I,R
867,180.0,74.0,146.0
868,180.0,73.0,147.0
869,180.0,73.0,147.0
870,180.0,73.0,147.0
871,180.0,73.0,147.0
872,180.0,72.0,148.0
873,180.0,72.0,148.0
874,180.0,72.0,148.0
875,180.0,72.0,148.0
876,180.0,72.0,148.0
877,180.0,72.0,148.0
878,180.0,72.0,148.0
879,180.0,71.0,149.0
880,180.0,71.0,149.0
881,180.0,71.0,149.0
882,180.0,71.0,149.0
883,180.0,71.0,149.0
884,180.0,71.0,149.0
885,180.0,71.0,149.0
886,181.0,70.0,149.0
887,181.0,69.0,150.0
888,181.0,69.0,150.0
889,181.0,69.0,150.0
890,181.0,69.0,150.0
891,181.0,69.0,150.0
892,181.0,69.0,150.0
893,181.0,69.0,150.0
894,181.0,69.0,150.0
895,181.0,69.0,150.0
896,181.0,69.0,150.0
897,181.0,69.0,150.0
898,180.0,70.0,150.0
899,180.0,70.0,150.0
900,180.0,70.0,150.0
901,179.0,71.0,150.0
902,179.0,71.0,150.0
903,179.0,71.0,150.0
904,179.0,71.0,150.0
905,179.0,71.0,150.0
906,179.0,71.0,150.0
907,178.0,72.0,150.0
908,178.0,72.0,150.0
909,179.0,71.0,150.0
910,179.0,71.0,150.0
911,179.0,71.0,150.0
912,179.0,70.0,151.0
913,179.0,70.0,151.0
914,179.0,69.0,152.0
915,179.0,69.0,152.0
916,179.0,69.0,152.0
917,179.0,69.0,152.0
918,179.0,69.0,152.0
919,179.0,69.0,152.0
920,179.0,68.0,153.0
921,178.0,69.0,153.0
922,178.0,69.0,153.0
923,177.0,70.0,153.0
924,177.0,69.0,154.0
925,177.0,69.0,154.0
926,177.0,69.0,154.0
927,177.0,68.0,155.0
928,177.0,68.0,155.0
929,177.0,67.0,156.0
930,177.0,67.0,156.0
931,177.0,67.0,156.0
932,177.0,67.0,156.0
933,177.0,67.0,156.0
934,177.0,67.0,156.0
935,177.0,67.0,156.0
936,177.0,67.0,156.0
937,177.0,66.0,157.0
938,177.0,66.0,157.0
939,177.0,65.0,158.0
940,177.0,65.0,158.0
941,177.0,65.0,158.0
942,177.0,65.0,158.0
943,178.0,64.0,158.0
944,178.0,64.0,158.0
945,178.0,64.0,158.0
946,178.0,64.0,158.0
947,177.0,65.0,158.0
948,176.0,66.0,158.0
949,176.0,66.0,158.0
950,176.0,66.0,158.0
951,176.0,66.0,158.0
952,175.0,66.0,159.0
953,176.0,65.0,159.0
954,176.0,65.0,159.0
955,176.0,65.0,159.0
956,176.0,65.0,159.0
957,176.0,65.0,159.0
958,176.0,65.0,159.0
959,177.0,64.0,159.0
960,177.0,64.0,159.0
961,177.0,63.0,160.0
962,177.0,62.0,161.0
963,176.0,63.0,161.0
964,175.0,63.0,162.0
965,175.0,63.0,162.0
966,176.0,62.0,162.0
967,176.0,62.0,162.0
968,176.0,62.0,162.0
969,176.0,62.0,162.0
970,177.0,61.0,162.0
971,177.0,61.0,162.0
972,177.0,60.0,163.0
973,177.0,60.0,163.0
974,177.0,59.0,164.0
975,177.0,59.0,164.0
976,177.0,59.0,164.0
977,177.0,59.0,164.0
978,177.0,59.0,164.0
979,177.0,59.0,164.0
980,177.0,59.0,164.0
981,177.0,59.0,164.0
982,177.0,59.0,164.0
983,177.0,59.0,164.0
984,177.0,59.0,164.0
985,177.0,59.0,164.0
986,177.0,59.0,164.0
987,177.0,59.0,164.0
988,177.0,58.0,165.0
989,177.0,58.0,165.0
990,178.0,57.0,165.0
991,178.0,57.0,165.0
992,179.0,56.0,165.0
993,179.0,56.0,165.0
994,179.0,56.0,165.0
995,179.0,56.0,165.0
